,event_name,event_description,event_url,event_industry
40,ISS World Asia,"ISS World Asia is the world's largest gathering of Regional Law Enforcement, Intelligence and Homeland Security Analysts, Telecoms as well as Financial Crime Investigators responsible for Cyber Crime Investigation, Electronic Surveillance and Intelligence Gathering. ISS World Programs present the methodologies and tools for Law Enforcement, Public Safety, Government and Private Sector Intelligence Communities in the fight against drug trafficking, cyber money laundering, human trafficking, terrorism and other criminal activities conducted over today's telecommunications network, the Internet and Social Media.",https://www.issworldtraining.com/ISS_AP/,law enforcement
41,ITB Asia,Asia's leading travel trade show,https://www.itb-asia.com/,travel and tourism
42,MEDICAL FAIR ASIA,"15th International Exhibition on Hospital, Diagnostic, Pharmaceutical, Medical & Rehabilitation Equipment & Supplies",https://www.medicalfair-asia.com/,medical equipment manufacturing
43,11th Middle East Insurance Industry Awards 2024,"Theme: ""Unlocking China’s Potential, Resilience and Power in the World’s Insurance Landscape""",https://www.meinsurancereview.com/Events/Home/Asia/cfo2024,insurance
44,OSEA 2024,Integrating Offshore Energy Transition with Market Opportunities,https://www.osea-asia.com/,oil & gas
45,Seafood Expo Asia,"Seafood Expo Asia is a trade event where buyers and suppliers of seafood from around the world come together to network and conduct business in the lucrative Asia markets. The next event will be held in Singapore from September 4-6, 2024.",https://www.seafoodexpo.com/asia/,fisheries
46,CeMAT Southeast Asia,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/contact/contact-us,supply chain and storage
47,CeMAT Southeast Asia,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/contact/getting-here,supply chain and storage
48,CeMAT Southeast Asia,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/explore-singapore-expo/go-green,supply chain and storage
49,Home Inspirations 2024,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event,Interior Design
50,Home Inspirations 2024,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event/plan-your-event#,Interior Design
51,Home Inspirations 2024,Home Inspirations 2024 is a home and interior design exhibition showcasing the latest trends and products.,https://www.singaporeexpo.com.sg/sg/organise-an-event/plan-your-event#1,interior design
52,CeMAT Southeast Asia,Exhibition focusing on intralogistics and supply chain management solutions,https://www.singaporeexpo.com.sg/sg/organise-an-event/venue-spaces,supply chain
53,CeMAT Southeast Asia,"Exhibition for intralogistics, supply chain management, material handling, and logistics",https://www.singaporeexpo.com.sg/sg/organise-an-event/virtual-tour,supply chain
54,AFA Creators Super Fest 2024,"Creators Super Fest is an innovative and engaging community event showcasing creative talents in Anime, Cosplay, Crafters & Music.",https://www.singaporeexpo.com.sg/sg/what-s-on/events-expo/AFA-Creators-Super-Fest-2024,arts & entertainment
55,Sake Meguri 2024,"Sake Meguri, presented by Sake.sg, is gearing up for its second annual celebration, promising a captivating experience for both sake enthusiasts and newcomers.",https://www.singaporeexpo.com.sg/sg/what-s-on/events-expo/Sake-Meguri-2024,event promotion
56,The Big Furniture Fair 2024,Discover the latest trends and designs in furniture at this grand fair.,https://www.singaporeexpo.com.sg/sg/what-s-on/play-expo,furniture and home furnishings manufacturing
57,CeMAT Southeast Asia,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/what-s-on/events-expo,supply chain
58,CeMAT Southeast Asia,"Exhibition for intralogistics, supply chain management, and material handling solutions",https://www.singaporeexpo.com.sg/what-s-on/feast-expo,supply chain
59,LTA-UITP Singapore International Transport Congress & Exhibition 2024,"The leading public transport event in the Asia Pacific region themed ""Smarter Journeys for Sustainable Cities"".",https://www.sitce.org/website/7302/,transportationtruckingrailroad
60,Global Space and Technology Convention 2025,"The 17th edition GSTC 2025, is the go-to platform for your space and satellite business to connect with the burgeoning space industry in Asia. Join us as we explore the future world of space technology and unlock new possibilities.",https://www.space.org.sg/gstc/,space
61,Submarine Networks World 2024,The premier submarine communications event,https://www.terrapinn.com/conference/submarine-networks-world/index.stm,maritime
62,Accounting & Business Show Asia 2024,"Asia’s leading tech & strategy event for accountants, finance leaders and business owners",https://www.terrapinn.com/exhibition/accounting-finance-show-asia/index.stm,accounting & accounting services
63,Aviation Festival Asia 2025,Business models. Technology. Sustainability. Innovation. For Asia’s aviation Industry.,https://www.terrapinn.com/exhibition/aviation-festival-asia/index.stm,aviation & aerospace
64,EDUtech_Asia 2024,Asia’s largest conference and exhibition for educators and EdTech providers,https://www.terrapinn.com/exhibition/edutech-asia/index.stm,education and training services b2b
65,Seamless Asia 2025,"THE FUTURE OF PAYMENTS, BANKING & E-COMMERCE IN ASIA",https://www.terrapinn.com/exhibition/seamless/,"seamless payments, banking, and e-commerce"
66,The Meetings Show Asia Pacific,"The Meetings Show Asia Pacific is a global event featuring destinations, venues, hotels, and other key suppliers. It includes a hosted buyer program, prescheduled meetings, an education program, and networking events.",https://www.themeetingsshow-apac.com/,travel & tourism
67,TOC Asia,Connecting the Port & Terminal Industry Across the APAC Region,https://www.tocevents-asia.com/en/home.html,maritime
68,UTECH Southeast Asia,Premier event in South East Asia dedicated to technical foam and polyurethanes,https://www.utechseasia.com/,specialty products
69,Worldchefs Congress & Expo 2024,The biennial event for industry leaders and culinary innovators,https://www.worldchefscongress.org/,culinary arts
70,ZAK Salaam India Expo,"ZAK Salaam India Expo is a salute to the ""Spirit of India"". The Expo is an exclusive ""Source from India"" of Indian products & companies from multiple industry sectors, organized by Zak Trade Fairs & Exhibitions Pvt. Ltd. ZAK Salaam India Expo has completed 35 editions as on date, with over 200 exhibitors, and attracts over 20,000 visitors. It is a 4-day exhibition, organized by Zak Trade Fairs & Exhibitions Pvt. Ltd., with exhibitors from India, Singapore, the Middle East, South Asia (Sri Lanka & Pakistan), East Asia and more.",https://zaksalaamindia.com/,manufacturing
71,6th International Conference on Supply Chain Management (ICSCM2025),International platform for presenting and publishing scientific research outcomes related to Supply Chain Management,http://www.icscm.org/index.html,supply chain
